regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
10;10;50;100000;0.05;0.1;0.1;3;[True, True, True];['I.11.19', 'I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', '1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5', 'x_2*x_5 + x_4*(x_1 + x_3) + (x_0 - x_4)*(x_3 - 2.33486982377251e-16*x_4)'];[1.0160528459246633e-29, 9.529439735069824e-30, 4.480729941655348e-30];[99.934, 99.936, 99.947];[94.0, 98.0, 94.0];[48.0, 60.0, 62.0];[33728, 82414, 2017];['seed_50', 'seed_30', 'seed_59'];10_10_50_100000_0.05_0.1_0.1
10;10;50;100000;0.05;0.2;0.7;13;[True, True, True, True, True, True, True, True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'II.11.28'];['sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*(1.014021080426819e-16*x_1 + x_3) + x_1*x_4 + x_2*x_5', '1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5', 'x_0**1.0*x_3 + 1.0*x_1*x_4 + x_2*x_5', '(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.330371159133885e-30, 7.005084838362585e-30, 7.762391307374756e-30, 0.0, 5.742907390008966e-30, 0.0, 1.5284180038657104e-32];[99.922, 99.928, 99.934, 99.877, 99.926, 99.95, 99.949, 99.936, 99.933, 99.925, 99.928, 99.915, 99.98];[96.0, 98.0, 96.0, 98.0, 100.0, 98.0, 96.0, 94.0, 94.0, 96.0, 96.0, 90.0, 98.0];[48.0, 40.0, 78.0, 30.0, 62.0, 80.0, 84.0, 22.0, 72.0, 80.0, 28.0, 86.0, 46.0];[40143, 88051, 44423, 97494, 36881, 18042, 2331, 68236, 28097, 8378, 14487, 83716, 39280];['seed_73', 'seed_34', 'seed_72', 'seed_31', 'seed_58', 'seed_47', 'seed_42', 'seed_75', 'seed_65', 'seed_34', 'seed_31', 'seed_54', 'seed_34'];10_10_50_100000_0.05_0.2_0.7
10;10;50;100000;0.07;0.3;0.4;6;[True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt(x_0**2 - 2*x_0*x_1 + x_1**2 + (x_2 - x_3)**2)', 'sqrt((-x_0 + x_1)**2 + (-x_2 + x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '(x_1*x_5*(x_3 + x_4 + x_5) - x_1 + x_2 + x_3**1.0*x_5*(x_0 - x_1))/x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[6.41257634283174e-32, 0.0, 0.0, 4.449175505446506e-30, 9.2770042453991e-30, 5.1433731020409966e-30];[99.943, 99.93, 99.955, 99.953, 99.925, 99.937];[98.0, 90.0, 98.0, 96.0, 94.0, 98.0];[62.0, 50.0, 86.0, 78.0, 76.0, 92.0];[67812, 48996, 9115, 15174, 61841, 32637];['seed_75', 'seed_55', 'seed_47', 'seed_74', 'seed_65', 'seed_30'];10_10_50_100000_0.07_0.3_0.4
10;10;50;100000;0.09;0.2;0.15;4;[True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 7.162857019406787e-30];[99.937, 99.941, 99.951, 99.973];[94.0, 96.0, 98.0, 100.0];[64.0, 68.0, 76.0, 84.0];[29471, 79255, 57426, 19349];['seed_32', 'seed_72', 'seed_71', 'seed_35'];10_10_50_100000_0.09_0.2_0.15
10;10;50;100000;0.09;0.3;0.7;5;[True, True, True, True, True];['I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0**1.0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1**1.0*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.1433731020409966e-30, 5.1433731020409966e-30, 0.0, 9.245449809190259e-30, 4.512284377864187e-30];[99.958, 99.95, 99.956, 99.959, 99.967];[100.0, 94.0, 98.0, 98.0, 98.0];[62.0, 70.0, 76.0, 70.0, 90.0];[88507, 8918, 4395, 9610, 3105];['seed_57', 'seed_75', 'seed_39', 'seed_49', 'seed_58'];10_10_50_100000_0.09_0.3_0.7
10;10;100;50000;0.05;0.2;0.1;8;[True, True, True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'II.11.28'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt(1.0*(x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1**1.0*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[0.0, 0.0, 0.0, 4.638502122699549e-30, 0.0, 1.0665399438588079e-29, 6.468659422812296e-30, 1.4791141972893968e-32];[99.838, 99.892, 99.77, 99.87, 99.914, 99.86, 99.818, 99.936];[96.0, 93.0, 97.0, 95.0, 96.0, 95.0, 93.0, 93.0];[41.0, 31.0, 65.0, 37.0, 37.0, 42.0, 41.0, 54.0];[8570, 2519, 24138, 24304, 5585, 21426, 43552, 5468];['seed_34', 'seed_60', 'seed_30', 'seed_42', 'seed_73', 'seed_72', 'seed_27', 'seed_53'];10_10_100_50000_0.05_0.2_0.1
10;10;100;50000;0.05;0.2;0.5;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.36425415550288e-30];[99.894];[95.0];[54.0];[39670];['seed_42'];10_10_100_50000_0.05_0.2_0.5
10;10;100;50000;0.05;0.3;0.7;4;[True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19'];['1.4142135623731*sqrt(0.5*x_0**2 - x_0*x_1 + 0.5*x_1**2 + 0.5*(x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[3.376694452895253e-31, 0.0, 0.0, 8.866796574684174e-30];[99.814, 99.878, 99.868, 99.884];[92.0, 99.0, 97.0, 95.0];[46.0, 35.0, 40.0, 53.0];[48056, 47554, 43651, 45335];['seed_32', 'seed_35', 'seed_50', 'seed_72'];10_10_100_50000_0.05_0.3_0.7
10;10;100;50000;0.07;0.5;0.1;14;[True, True, True, True, True, True, True, True, True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - 1.0*x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '(x_0*(x_1*x_4 + x_5*(x_2 + x_3)) + x_3**x_0*(x_0 - x_5))/x_0', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5 + 2.33486982377251e-16*x_2', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.793945743583597e-30, 9.876538533367069e-30, 5.9322340072620084e-30, 4.1020767071492615e-30, 5.742907390008966e-30, 8.01482679704548e-30, 0.0];[99.854, 99.898, 99.832, 99.9, 99.918, 99.866, 99.812, 99.902, 99.894, 99.888, 99.882, 99.952, 99.89, 99.894];[96.0, 94.0, 98.0, 98.0, 96.0, 97.0, 98.0, 95.0, 95.0, 93.0, 93.0, 97.0, 94.0, 86.0];[65.0, 49.0, 37.0, 40.0, 58.0, 54.0, 67.0, 61.0, 58.0, 54.0, 69.0, 55.0, 54.0, 51.0];[38785, 24076, 19620, 18440, 14868, 48455, 28557, 40937, 38771, 9264, 5328, 758, 37866, 4901];['seed_75', 'seed_27', 'seed_28', 'seed_69', 'seed_54', 'seed_58', 'seed_48', 'seed_42', 'seed_66', 'seed_27', 'seed_56', 'seed_36', 'seed_43', 'seed_54'];10_10_100_50000_0.07_0.5_0.1
10;10;100;50000;0.09;0.1;0.15;5;[True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', '1.0*x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 5.5220263365470826e-30, 0.0];[99.89, 99.9, 99.916, 99.848, 99.908];[96.0, 96.0, 94.0, 96.0, 94.0];[70.0, 62.0, 52.0, 76.0, 57.0];[20335, 14503, 28946, 49287, 6776];['seed_57', 'seed_65', 'seed_61', 'seed_73', 'seed_34'];10_10_100_50000_0.09_0.1_0.15
