regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
10;10;50;100000;0.05;0.1;0.1;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', '1.0*x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0];[99.922, 99.92];['{96.0}', '{98.0}'];['{52.0}', '{58.0}'];[51658, 47737];['seed_5', 'seed_4'];10_10_50_100000_0.05_0.1_0.1
10;10;50;100000;0.05;0.2;0.7;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[99.944];['{96.0}'];['{54.0}'];[48593];['seed_5'];10_10_50_100000_0.05_0.2_0.7
10;10;50;100000;0.07;0.3;0.4;2;[True, True];['I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*(x_3 - 2.33486982377251e-16) + x_1*x_4 + x_2*x_5'];[0.0, 4.764719867534911e-30];[99.932, 99.952];['{100.0}', '{98.0}'];['{30.0}', '{86.0}'];[38041, 23014];['seed_2', 'seed_4'];10_10_50_100000_0.07_0.3_0.4
10;10;50;100000;0.09;0.2;0.15;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[1.2274675685238945e-29];[99.949];['{96.0}'];['{66.0}'];[5643];['seed_5'];10_10_50_100000_0.09_0.2_0.15
10;10;50;100000;0.09;0.3;0.7;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_5/x_2'];[0.0, 1.069695387479692e-29];[99.922, 99.951];['{96.0}', '{98.0}'];['{58.0}', '{96.0}'];[89407, 58771];['seed_5', 'seed_4'];10_10_50_100000_0.09_0.3_0.7
10;10;100;50000;0.05;0.2;0.1;1;[True];['I.8.14'];['sqrt(-x_0 + x_1 + (x_0 - x_1)*(x_0 - x_1 + 1.0) + (x_2 - x_3)**2)'];[1.8920335773660204e-32];[99.8];['{97.0}'];['{32.0}'];[11565];['seed_2'];10_10_100_50000_0.05_0.2_0.1
10;10;100;50000;0.05;0.2;0.5;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.837570698635488e-30];[99.864];['{96.0}'];['{46.0}'];[22746];['seed_1'];10_10_100_50000_0.05_0.2_0.5
10;10;100;50000;0.05;0.3;0.7;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0];[99.904, 99.926];['{96.0}', '{96.0}'];['{45.0}', '{41.0}'];[48450, 3751];['seed_3', 'seed_5'];10_10_100_50000_0.05_0.3_0.7
10;10;100;50000;0.07;0.5;0.1;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0**1.0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 8.866796574684174e-30];[99.9, 99.896];['{97.0}', '{97.0}'];['{55.0}', '{47.0}'];[43007, 15625];['seed_2', 'seed_3'];10_10_100_50000_0.07_0.5_0.1
10;10;100;50000;0.09;0.1;0.15;1;[True];['I.11.19'];['x_0*(x_3 - 2.33486982377251e-16) + 1.0*x_1*x_4 + x_2*x_5'];[1.3568407569801402e-29];[99.874];['{93.0}'];['{41.0}'];[29546];['seed_4'];10_10_100_50000_0.09_0.1_0.15
10;10;100;50000;0.09;0.1;0.5;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0];[99.898];['{97.0}'];['{61.0}'];[44868];['seed_3'];10_10_100_50000_0.09_0.1_0.5
10;10;100;50000;0.09;0.7;0.7;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 9.34011311781678e-30];[99.868, 99.934];['{96.0}', '{96.0}'];['{31.0}', '{62.0}'];[30548, 3853];['seed_3', 'seed_2'];10_10_100_50000_0.09_0.7_0.7
10;10;150;33333;0.05;0.2;0.3;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[9.18234093677258e-30];[99.7239972399724];['{93.33}'];['{31.33}'];[16504];['seed_1'];10_10_150_33333_0.05_0.2_0.3
10;10;150;33333;0.05;0.7;0.5;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[3.1869980570928884e-30];[99.8709987099871];['{92.0}'];['{52.67}'];[8793];['seed_2'];10_10_150_33333_0.05_0.7_0.5
10;10;150;33333;0.07;0.1;0.2;1;[True];['I.11.19'];['1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5'];[8.898351010893014e-30];[99.789997899979];['{93.33}'];['{54.67}'];[25434];['seed_1'];10_10_150_33333_0.07_0.1_0.2
10;10;150;33333;0.07;0.2;0.05;1;[True];['I.11.19'];['x_2*x_5 + x_4*(x_1 + x_3) + (x_0 - x_4)*(x_3 - 2.33486982377251e-16*x_4)'];[6.184669496932733e-30];[99.7269972699727];['{95.33}'];['{44.0}'];[29806];['seed_4'];10_10_150_33333_0.07_0.2_0.05
10;10;150;33333;0.07;0.7;0.1;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[99.8589985899859];['{96.0}'];['{58.0}'];[18104];['seed_4'];10_10_150_33333_0.07_0.7_0.1
10;10;150;33333;0.09;0.2;0.1;2;[True, True];['I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[9.18234093677258e-30, 5.3958085917117206e-30];[99.879998799988, 99.8619986199862];['{93.33}', '{94.0}'];['{23.33}', '{60.67}'];[8471, 16836];['seed_1', 'seed_3'];10_10_150_33333_0.09_0.2_0.1
10;10;150;33333;0.09;0.5;0.05;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[99.7749977499775];['{94.67}'];['{72.0}'];[20303];['seed_1'];10_10_150_33333_0.09_0.5_0.05
10;10;200;25000;0.07;0.7;0.05;1;[True];['I.11.19'];['x_2*x_5 + x_3*(x_0 + x_4) + x_4**1.0*(x_1 - x_3)'];[5.017155357205635e-30];[99.864];['{92.5}'];['{38.5}'];[16726];['seed_1'];10_10_200_25000_0.07_0.7_0.05
10;10;200;25000;0.09;0.4;0.15;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[99.844];['{92.0}'];['{52.5}'];[6463];['seed_5'];10_10_200_25000_0.09_0.4_0.15
10;10;200;25000;0.09;0.5;0.7;1;[True];['II.11.28'];['(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[1.4791141972893968e-32];[99.888];['{95.5}'];['{52.0}'];[13969];['seed_5'];10_10_200_25000_0.09_0.5_0.7
10;10;200;25000;0.15;0.3;0.15;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[7.762391307374756e-30];[99.856];['{92.5}'];['{62.5}'];[18278];['seed_4'];10_10_200_25000_0.15_0.3_0.15
10;10;250;20000;0.07;0.1;0.3;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.36425415550288e-30];[99.705];['{91.6}'];['{61.6}'];[12087];['seed_4'];10_10_250_20000_0.07_0.1_0.3
10;10;250;20000;0.07;0.3;0.3;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[7.099748146989106e-30];[99.85];['{88.0}'];['{49.6}'];[2615];['seed_1'];10_10_250_20000_0.07_0.3_0.3
10;10;250;20000;0.07;0.5;0.3;3;[True, True, True];['I.8.14', 'I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((-1.0*x_0 + x_1)**2.0 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 8.551252212595769e-30];[99.845, 99.805, 99.775];['{90.4}', '{90.4}', '{91.6}'];['{50.4}', '{64.8}', '{56.0}'];[12784, 8503, 2150];['seed_1', 'seed_5', 'seed_4'];10_10_250_20000_0.07_0.5_0.3
10;10;250;20000;0.15;0.3;0.1;1;[False];['II.11.28'];['x_0*x_1 + 1/cos(0.858934493426592*x_0*x_1)'];[7.357837867185299e-07];[99.87];['{91.6}'];['{42.4}'];[20000];['seed_3'];10_10_250_20000_0.15_0.3_0.1
10;10;1250;4000;0.09;0.1;0.05;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[7.509955817704032e-30];[99.1];['{79.52}'];['{49.04}'];[3049];['seed_4'];10_10_1250_4000_0.09_0.1_0.05
10;10;2500;2000;0.05;0.2;0.05;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[9.119232064354897e-30];[97.95];['{72.88}'];['{24.84}'];[332];['seed_2'];10_10_2500_2000_0.05_0.2_0.05
10;10;2500;2000;0.05;0.3;0.2;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[7.730836871165916e-30];[97.95];['{73.36}'];['{34.2}'];[591];['seed_3'];10_10_2500_2000_0.05_0.3_0.2
10;10;2500;2000;0.07;0.3;0.05;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[9.150786500563737e-30];[99.1];['{73.36}'];['{45.4}'];[1420];['seed_3'];10_10_2500_2000_0.07_0.3_0.05
10;10;2500;2000;0.07;0.5;0.7;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[98.85];['{76.04}'];['{43.6}'];[1610];['seed_5'];10_10_2500_2000_0.07_0.5_0.7
10;10;2500;2000;0.07;0.7;0.5;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[98.75];['{73.52}'];['{32.48}'];[1001];['seed_3'];10_10_2500_2000_0.07_0.7_0.5
20;20;50;100000;0.05;0.1;0.2;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0];[99.906];['{98.0}'];['{58.0}'];[48264];['seed_1'];20_20_50_100000_0.05_0.1_0.2
20;20;50;100000;0.05;0.2;0.2;2;[True, False];['I.11.19', 'II.11.28'];['x_0*x_3 + x_1*x_4 + x_2*x_5', '(0.333333333333333*sin(x_0*x_1)*asin(x_0*x_1) + tanh(3.0**sin(x_0*x_1)/sin(x_0*x_1)))*sin(x_0*x_1) + 0.333333333333333*sin(x_0*x_1)*asin(x_0*x_1) + tanh(3.0**sin(x_0*x_1)/sin(x_0*x_1))'];[0.0, 4.0326375158277394e-07];[99.922, 99.899];['{100.0}', '{100.0}'];['{30.0}', '{80.0}'];[45794, 100000];['seed_2', 'seed_2'];20_20_50_100000_0.05_0.2_0.2
20;20;50;100000;0.07;0.3;0.15;2;[True, True];['I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 3.881195653687378e-30];[99.943, 99.887];['{100.0}', '{100.0}'];['{90.0}', '{94.0}'];[17370, 49544];['seed_4', 'seed_3'];20_20_50_100000_0.07_0.3_0.15
20;20;100;50000;0.05;0.1;0.7;2;[True, False];['I.11.19', 'II.11.28'];['x_0*x_3 + x_1*x_4 + x_2*x_5', '((-x_1/(x_1 + 1.15782128234958 + (x_1 + 1.15782128234958)/x_0) + 2.718281828459045)**x_0)**x_1'];[0.0, 4.0118760236874673e-07];[99.886, 99.918];['{98.0}', '{100.0}'];['{28.0}', '{82.0}'];[2709, 50000];['seed_1', 'seed_5'];20_20_100_50000_0.05_0.1_0.7
20;20;100;50000;0.09;0.5;0.1;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.1433731020409966e-30];[99.898];['{99.0}'];['{71.0}'];[6074];['seed_5'];20_20_100_50000_0.09_0.5_0.1
20;20;150;33333;0.07;0.1;0.2;1;[True];['I.11.19'];['1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5'];[5.1433731020409966e-30];[99.8079980799808];['{97.33}'];['{48.67}'];[8033];['seed_1'];20_20_150_33333_0.07_0.1_0.2
20;20;150;33333;0.07;0.3;0.2;1;[True];['II.11.28'];['(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[1.7256332301709632e-32];[99.9639996399964];['{95.33}'];['{46.0}'];[555];['seed_4'];20_20_150_33333_0.07_0.3_0.2
20;20;150;33333;0.09;0.7;0.3;1;[True];['I.11.19'];['1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5'];[5.2064819744586776e-30];[99.8469984699847];['{98.0}'];['{63.33}'];[7968];['seed_4'];20_20_150_33333_0.09_0.7_0.3
20;20;200;25000;0.05;0.1;0.05;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[6.6264316038565e-30];[99.776];['{95.0}'];['{31.5}'];[5757];['seed_1'];20_20_200_25000_0.05_0.1_0.05
20;20;200;25000;0.07;0.2;0.1;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[6.1215606245150514e-30];[99.84];['{98.0}'];['{56.0}'];[8254];['seed_3'];20_20_200_25000_0.07_0.2_0.1
