regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
10;10;50;100000;0.05;0.2;0.5;2;[True, True];['II.3.24', 'II.3.24'];['0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[8.08664881727281e-35, 5.428715030741521e-35];[99.979, 99.97];[94.0, 100.0];[78.0, 72.0];[917, 43968];['seed_5', 'seed_4'];10_10_50_100000_0.05_0.2_0.5
10;10;50;100000;0.05;0.4;0.2;3;[True, True, True];['II.38.14', 'I.27.6', 'II.3.24'];['0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2'];[0.0, 7.588163980885709e-33, 6.638439777059751e-35];[99.981, 99.951, 99.969];[96.0, 96.0, 100.0];[48.0, 24.0, 48.0];[1556, 10191, 46081];['seed_2', 'seed_4', 'seed_4'];10_10_50_100000_0.05_0.4_0.2
10;10;50;100000;0.05;0.4;0.7;3;[True, True, True];['II.38.14', 'II.38.14', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', '0.07957747154594767*x_0/x_1**2'];[0.0, 1.835411237001036e-33, 8.292031190248482e-35];[99.981, 99.984, 99.944];[96.0, 98.0, 100.0];[38.0, 34.0, 26.0];[1540, 18014, 8402];['seed_2', 'seed_1', 'seed_4'];10_10_50_100000_0.05_0.4_0.7
10;10;50;100000;0.05;0.5;0.05;2;[True, True];['II.38.14', 'I.27.6'];['x_0/(2*(2.718281828459045**log(1/x_0)*x_0 + x_1))', 'x_0*x_1/(x_0*x_2 + x_1)'];[2.130078518492283e-33, 7.588163980885709e-33];[99.982, 99.945];[98.0, 96.0];[44.0, 36.0];[1187, 47987];['seed_1', 'seed_4'];10_10_50_100000_0.05_0.5_0.05
10;10;50;100000;0.05;0.5;0.15;4;[True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'II.3.24'];[nan, '0.5*x_0/(x_1 + 1.0)', 'x_0/(2*x_1 + 2.0)', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 0.0, 7.068012432624251e-35];[99.963, 99.96, 99.973, 99.956];[98.0, 94.0, 100.0, 100.0];[60.0, 40.0, 40.0, 44.0];[7279, 27322, 15618, 62709];['seed_1', 'seed_5', 'seed_4', 'seed_4'];10_10_50_100000_0.05_0.5_0.15
10;10;50;100000;0.05;0.5;0.5;6;[True, True, True, True, True, True];['II.38.14', 'I.27.6', 'I.27.6', 'I.27.6', 'I.27.6', 'II.3.24'];['0.5/((x_1 + 1)/x_0)**1.0', 'x_1*(x_0 + 4.669739647545019e-16)/(x_1 + x_2*(x_0 + 4.669739647545019e-16) - 2.33486982377251e-16)', '1.0*x_0*x_1/(x_0*x_2 + x_1)', '(x_0*x_1/(x_0*x_2 + x_1))**1.0', '1.0*x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2'];[2.1840045569351254e-33, 8.150535524646782e-33, 0.0, 9.105796777062851e-33, 6.355568816477878e-33, 1.7395059443016272e-34];[99.989, 99.971, 99.963, 99.952, 99.951, 99.963];[98.0, 100.0, 96.0, 96.0, 98.0, 100.0];[52.0, 18.0, 32.0, 28.0, 32.0, 48.0];[7198, 12480, 28705, 82308, 14883, 36989];['seed_1', 'seed_2', 'seed_5', 'seed_4', 'seed_3', 'seed_4'];10_10_50_100000_0.05_0.5_0.5
10;10;50;100000;0.07;0.1;0.05;4;[True, True, True, True];['II.38.14', 'I.27.6', 'I.27.6', 'II.3.24'];['0.5*x_0/(x_1 + 1)', 'x_0**1.0*x_1/(1.0*x_0**1.0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.3183098861837907/x_0'];[0.0, 0.0, 7.588163980885709e-33, 4.513145990773058e-35];[99.976, 99.971, 99.97, 99.969];[98.0, 96.0, 98.0, 96.0];[50.0, 56.0, 32.0, 56.0];[70049, 1819, 2863, 8675];['seed_1', 'seed_5', 'seed_3', 'seed_2'];10_10_50_100000_0.07_0.1_0.05
10;10;50;100000;0.07;0.1;0.4;6;[True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['x_0/(2*x_1 + 2.0)', '0.5*x_0/(x_1 + 1.0)', 'x_0/(2*x_1 + 2.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767/(-x_1/sqrt(x_0))**2.0', '0.07957747154659799*x_0/x_1**2'];[0.0, 0.0, 0.0, 7.588163980885709e-33, 8.109970625193126e-35, 3.2881721983948002e-25];[99.989, 99.95, 99.974, 99.974, 99.976, 99.932];[94.0, 100.0, 98.0, 98.0, 96.0, 98.0];[40.0, 66.0, 74.0, 44.0, 78.0, 90.0];[2131, 66383, 68307, 5323, 1971, 24201];['seed_5', 'seed_4', 'seed_3', 'seed_3', 'seed_2', 'seed_3'];10_10_50_100000_0.07_0.1_0.4
10;10;50;100000;0.07;0.1;0.5;5;[True, True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*(x_2 - 2.33486982377251e-16) + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', 'asin(sin(0.1591549430918953*x_0))/(2*x_1**2)'];[0.0, 0.0, 8.982537260622068e-33, 9.105796777062851e-33, 7.605918647560529e-35];[99.967, 99.979, 99.975, 99.976, 99.963];[100.0, 98.0, 98.0, 96.0, 98.0];[72.0, 68.0, 58.0, 28.0, 70.0];[9311, 14235, 2033, 4675, 6298];['seed_4', 'seed_3', 'seed_1', 'seed_4', 'seed_3'];10_10_50_100000_0.07_0.1_0.5
10;10;50;100000;0.07;0.1;0.7;6;[True, True, True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['x_0/(2*x_1 + 2.0)', '0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2.0', '0.7853981633974483*x_0/x_1**2'];[0.0, 1.5946699939526308e-33, 7.588163980885709e-33, 1.6195114809696882e-34, 1.917052611049825e-34, 3.8112348040100527e-35];[99.964, 99.97, 99.937, 99.959, 99.98, 99.97];[94.0, 98.0, 98.0, 94.0, 100.0, 98.0];[62.0, 56.0, 38.0, 64.0, 56.0, 50.0];[38175, 99934, 52224, 65479, 73099, 3821];['seed_5', 'seed_3', 'seed_3', 'seed_5', 'seed_4', 'seed_3'];10_10_50_100000_0.07_0.1_0.7
