regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
5;5;10;500000;0.05;0.1;0.2;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[5.017155357205635e-30];[99.9928];[100.0];[60.0];[33415];['seed_6'];5_5_10_500000_0.05_0.1_0.2
5;5;10;500000;0.05;0.4;0.15;2;[True, True];['I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[4.007413398522739e-30, 1.0791617183423441e-29];[99.9872, 99.9926];[100.0, 100.0];[100.0, 60.0];[10757, 231081];['seed_9', 'seed_2'];5_5_10_500000_0.05_0.4_0.15
5;5;10;500000;0.05;0.4;0.3;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 4.133631143358102e-30];[99.99, 99.9892];[100.0, 100.0];[40.0, 90.0];[75349, 17374];['seed_5', 'seed_9'];5_5_10_500000_0.05_0.4_0.3
5;5;10;500000;0.05;0.5;0.6;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[4.1020767071492615e-30];[99.9932];[100.0];[70.0];[2612];['seed_2'];5_5_10_500000_0.05_0.5_0.6
5;5;10;500000;0.05;0.7;0.3;1;[True];['I.11.19'];['x_0*x_3 + x_2*x_5 + x_4/x_1'];[7.920163488418959e-30];[99.9916];[100.0];[40.0];[21713];['seed_7'];5_5_10_500000_0.05_0.7_0.3
5;5;10;500000;0.07;0.1;0.6;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 - 2.33486982377251e-16*x_1 + x_2*x_5'];[1.1832913578315177e-29];[99.985];[100.0];[90.0];[212744];['seed_3'];5_5_10_500000_0.07_0.1_0.6
5;5;10;500000;0.07;0.2;0.1;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0];[99.9892];[100.0];[100.0];[116324];['seed_6'];5_5_10_500000_0.07_0.2_0.1
5;5;10;500000;0.07;0.2;0.3;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2.0 + (x_2 - x_3)**2.0)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 5.869125134844328e-30];[99.985, 99.9902];[100.0, 100.0];[70.0, 100.0];[444692, 110830];['seed_4', 'seed_8'];5_5_10_500000_0.07_0.2_0.3
5;5;10;500000;0.07;0.2;0.6;1;[True];['I.8.14'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)'];[0.0];[99.9854];[100.0];[90.0];[53299];['seed_8'];5_5_10_500000_0.07_0.2_0.6
5;5;10;500000;0.07;0.6;0.3;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[4.4176210692376665e-30];[99.9948];[100.0];[50.0];[2297];['seed_2'];5_5_10_500000_0.07_0.6_0.3
5;5;10;500000;0.07;0.7;0.1;1;[True];['I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0];[99.9878];[100.0];[100.0];[57874];['seed_4'];5_5_10_500000_0.07_0.7_0.1
5;5;10;500000;0.07;0.7;0.15;1;[True];['I.11.19'];['1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5'];[6.373996114185775e-30];[99.9894];[100.0];[90.0];[91639];['seed_9'];5_5_10_500000_0.07_0.7_0.15
5;5;10;500000;0.07;0.7;0.5;1;[True];['I.11.19'];['1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5'];[7.857054616001278e-30];[99.99];[100.0];[70.0];[306011];['seed_3'];5_5_10_500000_0.07_0.7_0.5
