regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
5;5;10;500000;0.07;0.6;0.0;7;[True, True, True, True, True, True, False];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', 'x_1/(x_0*(x_0*x_2 + x_1))', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07959944605182773*x_0/x_1**2'];[0.0, 0.0, 1.835411237001036e-33, 1.1070245320337831e-32, 7.780756975324433e-33, 1.8587480912490398e-34, 3.7543883718008494e-10];[99.996, 99.997, 99.9952, 99.9936, 99.9956, 99.9934, 99.9916];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[100.0, 100.0, 100.0, 70.0, 100.0, 100.0, 100.0];[10680, 2981, 86080, 285898, 142626, 150403, 500000];['seed_1', 'seed_5', 'seed_3', 'seed_1', 'seed_4', 'seed_5', 'seed_3'];5_5_10_500000_0.07_0.6_0.0
5;5;10;500000;0.07;0.6;0.05;7;[True, True, True, True, True, False, True];['II.38.14', 'II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07959157445024125*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[1.835411237001036e-33, 0.0, 0.0, 1.835411237001036e-33, 6.917940360238952e-33, 1.5463865969584615e-10, 0.0];[99.9952, 99.9926, 99.9916, 99.9952, 99.9926, 99.9942, 99.9966];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[11463, 198979, 401050, 86080, 142626, 500000, 2166];['seed_1', 'seed_5', 'seed_4', 'seed_3', 'seed_4', 'seed_1', 'seed_5'];5_5_10_500000_0.07_0.6_0.05
5;5;10;500000;0.07;0.6;0.15;7;[True, True, True, False, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', 'x_0/(2*x_1 + 2.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07959944605182773*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.0795793518761658*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 7.588163980885709e-33, 3.7543883718010117e-10, 5.600243166413509e-35, 2.74896500056058e-12, 7.068012432624251e-35];[99.9944, 99.9952, 99.996, 99.9922, 99.9948, 99.9914, 99.991];[100.0, 100.0, 100.0, 90.0, 100.0, 100.0, 100.0];[100.0, 90.0, 40.0, 100.0, 70.0, 90.0, 20.0];[369897, 3316, 144384, 500000, 10737, 157373, 74113];['seed_1', 'seed_3', 'seed_4', 'seed_2', 'seed_1', 'seed_5', 'seed_3'];5_5_10_500000_0.07_0.6_0.15
5;5;10;500000;0.07;0.7;0.15;7;[True, True, True, True, True, False, True];['II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.080278269287345268*x_0/x_1**2.0', '0.07957747154594767*x_0/x_1**2'];[1.835411237001036e-33, 2.081930269882602e-33, 9.105796777062851e-33, 7.588163980885709e-33, 1.327010870665877e-34, 3.818443302792256e-07, 5.653657629714872e-35];[99.996, 99.996, 99.995, 99.9968, 99.993, 99.992, 99.995];[90.0, 100.0, 100.0, 100.0, 90.0, 100.0, 100.0];[100.0, 90.0, 100.0, 50.0, 100.0, 80.0, 100.0];[7505, 19261, 11206, 8306, 98474, 500000, 55791];['seed_2', 'seed_4', 'seed_2', 'seed_1', 'seed_2', 'seed_5', 'seed_4'];5_5_10_500000_0.07_0.7_0.15
5;5;10;500000;0.07;0.7;0.5;7;[True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1.0)', '1.0*x_0*x_1/(x_0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + 1.0*x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 1.981781912774465e-33, 7.873201612655019e-33, 0.0, 8.643362941822245e-35, 7.721023054393045e-35, 8.643362941822245e-35];[99.9948, 99.9956, 99.9896, 99.9944, 99.997, 99.9938, 99.9948];[90.0, 100.0, 100.0, 100.0, 90.0, 100.0, 100.0];[100.0, 90.0, 90.0, 100.0, 100.0, 100.0, 100.0];[60518, 356854, 173824, 211273, 137541, 33868, 40547];['seed_2', 'seed_3', 'seed_1', 'seed_4', 'seed_2', 'seed_1', 'seed_4'];5_5_10_500000_0.07_0.7_0.5
5;5;10;500000;0.07;0.7;0.7;6;[True, True, False, True, True, True];['I.27.6', 'II.3.24', 'II.3.24', 'II.3.24', 'II.3.24', 'II.3.24'];['x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', 'x_0*tan(tan(sin(0.283662185463226/x_1)**2))', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 4.5409816970005295e-35, 2.1455203388138579e-07, 0.0, 7.068012432624251e-35, 5.730393900936553e-35];[99.9916, 99.9958, 99.9954, 99.9952, 99.995, 99.9944];[100.0, 90.0, 100.0, 100.0, 100.0, 100.0];[50.0, 100.0, 90.0, 100.0, 90.0, 100.0];[264263, 7205, 500000, 29969, 400442, 56643];['seed_1', 'seed_2', 'seed_1', 'seed_5', 'seed_4', 'seed_3'];5_5_10_500000_0.07_0.7_0.7
5;5;10;500000;0.09;0.2;0.05;6;[True, True, True, False, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07958870175127662*x_0/x_1**2.0', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 7.588163980885709e-33, 9.805649222052835e-11, 4.5409816970005295e-35, 0.0];[99.9954, 99.9942, 99.996, 99.9932, 99.9928, 99.995];[100.0, 100.0, 100.0, 90.0, 100.0, 100.0];[100.0, 60.0, 30.0, 100.0, 80.0, 60.0];[215017, 292638, 33821, 500000, 205464, 41125];['seed_5', 'seed_4', 'seed_4', 'seed_2', 'seed_1', 'seed_4'];5_5_10_500000_0.09_0.2_0.05
5;5;10;500000;0.09;0.2;0.5;7;[True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', 'x_0/(2*x_1 + 2.0)', '0.5*x_0/(x_1 + 1)**1.0', 'x_0*x_1/(1.0*x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 0.0, 0.0, 9.614242282381082e-33, 4.5409816970005295e-35, 5.969630511215902e-35];[99.996, 99.9954, 99.9944, 99.9954, 99.9912, 99.9962, 99.997];[90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[80.0, 80.0, 70.0, 80.0, 100.0, 100.0, 80.0];[2588, 272311, 252432, 116199, 140683, 129826, 41858];['seed_2', 'seed_1', 'seed_4', 'seed_3', 'seed_3', 'seed_1', 'seed_4'];5_5_10_500000_0.09_0.2_0.5
5;5;10;500000;0.09;0.3;0.0;7;[True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.3.24', 'II.3.24', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957395411568567*x_0/x_1**2'];[0.0, 0.0, 0.0, 8.292031190248482e-35, 1.8587480912490398e-34, 6.630164296829962e-35, 9.619487861242048e-12];[99.9942, 99.9962, 99.9918, 99.9952, 99.992, 99.9972, 99.9898];[90.0, 100.0, 90.0, 100.0, 100.0, 100.0, 100.0];[90.0, 100.0, 90.0, 100.0, 100.0, 70.0, 90.0];[18841, 18658, 17905, 334131, 298839, 515, 427526];['seed_2', 'seed_5', 'seed_2', 'seed_1', 'seed_5', 'seed_4', 'seed_3'];5_5_10_500000_0.09_0.3_0.0
5;5;10;500000;0.09;0.4;0.3;8;[True, True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2.0', '0.07957747154594767*x_0/x_1**2'];[0.0, 1.5888922041194696e-33, 0.0, 7.588163980885709e-33, 9.105796777062851e-33, 2.618587639620567e-34, 3.210886329158095e-35, 5.600243166413509e-35];[99.9944, 99.9952, 99.9948, 99.991, 99.9944, 99.9942, 99.9926, 99.9926];[90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[90.0, 100.0, 100.0, 60.0, 60.0, 100.0, 80.0, 100.0];[71293, 9766, 5330, 39085, 17266, 435991, 77219, 277457];['seed_2', 'seed_1', 'seed_3', 'seed_2', 'seed_3', 'seed_1', 'seed_5', 'seed_4'];5_5_10_500000_0.09_0.4_0.3
